index,Series_Name,Series_Code,Country_Name,Country_Code,1990_[YR1990],2000_[YR2000],2013_[YR2013],2014_[YR2014],2015_[YR2015],2016_[YR2016],2017_[YR2017],2018_[YR2018],2019_[YR2019],2020_[YR2020],2021_[YR2021],2022_[YR2022],2012_[YR2012],2011_[YR2011],2010_[YR2010],2009_[YR2009],2008_[YR2008],2007_[YR2007],2006_[YR2006],2005_[YR2005],2004_[YR2004],2003_[YR2003],2002_[YR2002],2001_[YR2001],1999_[YR1999],1998_[YR1998],1997_[YR1997],1996_[YR1996],1995_[YR1995],1994_[YR1994],1993_[YR1993],1992_[YR1992],1991_[YR1991],1989_[YR1989],1988_[YR1988],1987_[YR1987],1986_[YR1986],1985_[YR1985],1984_[YR1984],1983_[YR1983],1982_[YR1982],1981_[YR1981],1980_[YR1980],1979_[YR1979],1978_[YR1978],1977_[YR1977],1976_[YR1976],1975_[YR1975],1974_[YR1974],1973_[YR1973],1972_[YR1972],1971_[YR1971],1970_[YR1970],1969_[YR1969],1968_[YR1968],1967_[YR1967],1966_[YR1966],1965_[YR1965],1964_[YR1964],1963_[YR1963],1962_[YR1962],1961_[YR1961],1960_[YR1960]
0,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Brazil,BRA,6086.084870295563,6745.865881246801,9216.143360436254,9183.470768025596,8783.22598387817,8426.853352455024,8470.95078857257,8553.87618653936,8592.221537535373,8204.202726008814,8537.939220132255,123456789.123,9025.324847538359,8935.288057086413,8673.908812247704,8142.770838553006,8231.1102691656,7909.834757508833,7534.551559114264,7325.912358432154,7178.356115841291,6865.181504614938,6868.704165325861,6749.889718986252,6551.234547773702,6613.991132956694,6689.207419123078,6567.360356823752,6524.52669793585,6358.68643258731,6103.384553497577,5911.694130848563,6043.439900260936,6479.076885612454,6399.492061755152,6528.631318497157,6433.505717370957,6110.365747922149,5788.094129656646,5613.618268027448,5914.572188719403,6001.652205656022,6415.6455267274305,6014.874584797071,5768.433151507305,5626.72376145855,5489.986664924479,5097.714461369445,4962.92833317853,4699.445339491414,4224.201239968041,3866.390088694528,3558.8566123676133,3304.860244885664,3095.22563217195,2892.6877226814026,2850.9047736833204,2746.261343549141,2758.8666065073403,2746.5170522797,2811.6308135384097,2717.0048940965794,2578.432125010179
1,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Afghanistan,AFG,123456789.123,123456789.123,608.3867145759991,602.5169792991121,592.4765374516808,590.427738791141,588.9304507594736,578.9859090208365,584.3868828961065,553.0364788843665,426.0300152917982,123456789.123,596.4428151196005,551.0009702708256,569.282712026308,512.4092792492557,437.42002680822594,429.4125373418279,384.0783052415723,379.955829325586,354.0339128703451,363.1014814595282,359.7663426684839,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123
2,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Albania,ALB,1606.2960469399682,1960.8819460205436,3780.698202056765,3855.759733947442,3952.802538075274,4090.3716566779995,4249.803733677256,4431.53918098494,4543.386520186427,4410.45516523171,4830.596316916216,123456789.123,3736.339100713677,3678.0467378603494,3577.113387840542,3432.1699727969803,3298.4780442853125,3044.895819105146,2851.3670121857485,2675.507936155238,2522.4487136197145,2380.6439970953893,2247.497491299384,2143.526277907566,1821.8726537246073,1603.647230145852,1464.2975789187738,1633.551572053717,1488.020491358016,1305.000718681737,1197.5805937530315,1086.438486800394,1163.4912935682428,1808.6456043482733,1691.5305058618912,1748.578262201884,1798.0146087727858,1735.2898577249132,1740.3472258077643,1799.878145102178,1818.3673437535954,1804.0103068450696,1740.5053824922925,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123
3,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Algeria,DZA,3153.4768636483673,3138.231047505887,4057.766136822925,4129.423902106026,4197.421360551422,4246.2435654223955,4218.083701294793,4188.2217574351735,4153.004815940206,3873.5100150744975,3943.171983377122,123456789.123,4025.6428030116886,3969.6615770323524,3931.7213477104506,3866.297025479813,3874.369338368776,3848.7795124979452,3783.314203825792,3774.0724914451403,3612.7541643999134,3512.900199695449,3321.638849444479,3188.2072707176726,3066.03870511702,3012.8064310503846,2910.240196800962,2927.3783965807315,2862.108806288401,2810.7276652488963,2896.669360013438,3025.8405398451573,3042.2169063954016,3207.4560377859893,3154.2042699968356,3274.802964206642,3399.285114612999,3500.418193049018,3492.18431152061,3420.746086997264,3356.162649619196,3260.033105817934,3268.444054028212,3344.979069560132,3206.563371141102,3021.4264395119026,2980.715989663373,2885.7569824498337,2850.684986595826,2717.7699750599995,2680.8041085067616,2152.971146882937,2483.4462591590122,2332.822463886479,2200.3250987161628,2031.1694733985166,1897.4896794016665,2030.6367327464918,1943.6991968930902,1868.6267525139685,1413.823676934798,1787.615365786698,2106.2292648107023
4,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,American Samoa,ASM,123456789.123,123456789.123,12098.275150543515,12494.980211030686,13101.541815916524,13116.430976920077,12442.857665371896,13049.330153617599,13288.356556511633,14303.627032575581,14396.368558127393,123456789.123,12247.635288214824,12656.688138914153,12532.311123711053,12378.170194566459,12795.024557750838,13029.61628437352,12690.529110499063,13136.48008059439,13105.169077889199,12980.722295686151,12804.435844442607,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123
5,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Andorra,AND,30577.938660577674,33901.042444551946,37597.556133548365,38402.496869184,38885.37601409047,39886.48180353577,39321.45827034772,39319.9364136952,39413.634473299615,34394.27755346968,36839.876218568184,123456789.123,39174.74183023921,41486.034846244635,40937.111616844864,40442.62461897841,41470.27336700303,42724.39765691114,40994.28493187785,39306.9848739107,38696.34104891409,37250.147370380524,35749.78704668814,35722.38713358632,32966.1060275923,31895.85421255869,31149.232044057822,28797.738923484918,28051.278707432808,28144.26271274572,28363.226387950344,29595.904726770343,30301.509675390855,30565.003360249728,30323.179199590155,30076.239375030356,29763.96915338278,30007.92278303918,30459.010326192016,31219.4315386345,32134.025522123,33120.81208094635,34446.224319072004,35151.90411867416,36828.69055995564,38203.49089564611,39247.76587835693,40266.07850992968,42570.18233197212,42965.76649242767,42586.45871481209,42165.96566501476,43258.72666668623,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123
6,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Angola,AGO,2245.1498623334364,1832.5141018773368,3152.7043273782465,3185.1224013646083,3100.830685305332,2914.4154587280113,2808.5217532666375,2677.177815897741,2569.6913465294538,2347.78703247628,2299.6405718261967,123456789.123,3118.343699075767,2983.032610914116,2993.4209742964526,2963.3159875685783,3048.5940022322548,2844.818354535489,2587.7250570715846,2404.631168847875,2166.1477156774235,2022.0356843655334,2031.5037258262967,1847.8747357595685,1836.8296529274464,1856.5597756956754,1832.4823122050475,1766.1540542020539,1608.1463161944982,1445.1555674591013,1472.4041892640255,1999.1672369791872,2193.2307318333997,2404.480587949911,2485.89135640114,2422.5424803241203,2408.9435273304484,2426.0377416529577,2430.0102023818868,2376.7291872835963,2364.9447489660542,2451.4424552657947,2657.054582111501,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123
7,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Antigua and Barbuda,ATG,11727.10929244019,14247.973013192952,14015.879314904394,14427.406909061236,14861.88270747037,15570.90406366435,15962.680118639533,16967.086229659777,17697.231154970348,14040.36754616545,14692.41562122586,123456789.123,14232.969594231827,13918.59652702441,14367.9514959487,15804.445144256133,18228.64913313643,18505.79066558618,17163.39782513578,15423.800024391308,14656.292617304023,14010.849058085325,13358.814371323491,13392.981716753116,13639.995934969691,13378.715361766905,13017.211571058991,12592.999589060555,12054.616301329344,12853.283788342047,12275.395924218217,11871.658415277638,11924.738874486275,11329.148141036572,10705.595427054275,10116.477277108379,9435.146893704548,8418.77129229691,7783.381756355729,7060.235271207048,6718.985288207777,6740.65174628264,6511.662779596221,6046.409265494274,5618.746599912202,5400.583259280895,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123
8,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Argentina,ARG,8144.49429397801,10672.722035312107,14071.508683155722,13567.948415980865,13789.060424772022,13360.211834598183,13595.037355108117,13105.397163316997,12716.224203854397,11341.268365586295,12402.490791231714,123456789.123,13895.63370729862,14200.269889060848,13551.339194022945,12336.861938523742,13246.634891715215,12857.09257709611,11913.958532263698,11141.310671837527,10341.643405880495,9581.969792194684,8895.31964210751,10090.653443428628,10880.206207483703,11391.9451576314,11097.382063461755,10388.538710440795,9969.331575797225,10397.379287449578,9957.256522304917,9327.859450963599,8762.661383513321,8473.02656895128,9262.96392660836,9507.339812642806,9397.88360849477,8987.933705691756,9624.404556368658,9622.34731895272,9366.17037951494,9585.206771821442,10270.956118001415,10278.924623818135,9476.06343622627,10083.815182891782,9581.841403111364,9935.938634690023,10105.049507529686,9739.416270641852,9630.010366009139,9628.037837894917,9257.89557164576,9126.186479092554,8450.037064173017,8187.373350676681,8059.450431462795,8241.529336668093,7572.231166175603,6986.564802060012,7498.8400606558,7687.517338041697,7410.305028696388
9,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Armenia,ARM,1641.9831694480501,1249.6121475685682,3402.0839043531596,3538.5294441069036,3666.141875806497,3689.830136178396,3985.9167567329123,4215.89945615491,4561.967865765993,4256.131290157068,4522.319107425487,123456789.123,3278.670496133968,3043.262830710318,2889.5662704942056,2810.1928816727823,3250.4986586210334,3019.465604865895,2636.2566868098716,2312.9828952132993,2018.4601704342963,1815.78825107558,1582.0576448430913,1385.044814364463,1166.1879787313424,1116.9072085978835,1031.0982739460508,989.6423577203401,928.092510170958,855.0810534724443,791.647007749424,839.5720421723202,1425.3867622574062,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123,123456789.123
