,scale__biofuel_electricity,scale__hydro_electricity,scale__solar_electricity,scale__wind_electricity,scale__coal_electricity,scale__fossil_electricity,scale__gas_production,scale__greenhouse_gas_emissions,scale__low_carbon_electricity,scale__net_elec_imports,scale__nuclear_electricity,scale__oil_production,remainder__country,remainder__year,remainder__iso_code,remainder__GDP_per_capita
2173,-0.23561391321268338,-0.17877436428486032,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.20775791434980284,-0.24227582694262953,-0.19208408493933044,-0.21817560891366317,0.014096592554133851,-0.19645854896608375,-0.22889600042974964,Cameroon,2000,CMR,1137.6245230672598
2203,-0.19125703206954417,0.13589751133479402,-0.1141694525526865,-0.13750295827568418,-0.14418326825434571,-0.06877464287301406,0.27899228774306584,-0.09805431634092732,-0.023311409230620483,0.1509631167950546,-0.11301679317584003,0.28996177314966914,Argentina,2000,ARG,10672.722035312107
1545,-0.2269889641015174,1.8371080223104295,-0.1141694525526865,-0.13916823553849894,0.38864971461922937,1.302086979603089,7.452638599394387,0.9936196009600203,1.5357879501018648,-1.5621121497286012,1.5094308356872126,4.324612155209691,Russia,2000,RUS,5323.66259765625
2199,-0.23561391321268338,-0.2215586982506905,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.20778552874906311,-0.24227582694262953,-0.1924030702078512,-0.23929054125936303,0.014096592554133851,-0.19645854896608375,-0.29475851772720785,Guinea-Bissau,2000,GNB,563.6243086024341
906,-0.2146676082284232,0.16588418528738472,-0.1141694525526865,-0.1379192775913879,-0.028455865796425946,0.04941498596081391,-0.23252565509443276,0.022663886390381034,-0.04634588088047492,0.3899186058386294,-0.19645854896608375,-0.2536639061775928,Turkey,2000,TUR,6454.593118516034
162,-0.23561391321268338,-0.21390519569375316,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.12665442372247748,-0.19939942833024335,-0.12704653296870483,-0.23551338327376864,0.014096592554133851,-0.19645854896608375,1.5266194525437113,Iraq,2000,IRQ,4138.188056466597
898,-0.22822109968882684,-0.21930028766011883,-0.1141694525526865,-0.13916823553849894,-0.11850574361361232,-0.150513264683325,-0.19638625986635538,-0.14115277039884594,-0.1500010033048198,0.4000153166432875,0.0010713503837753366,-0.26439232840810095,Hungary,2000,HUN,8967.69626924063
1282,-0.23561391321268338,-0.21641454079438835,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.20692948237199565,-0.24227582694262953,-0.19158788563274254,-0.2367517957280619,0.014096592554133851,-0.19645854896608375,-0.29475851772720785,Guinea,2000,GIN,620.9044598534613
2779,-0.027382998957390974,0.7444136982388305,-0.11326219302258435,-0.07338978365731642,1.117131801171313,1.1047820968886732,0.12111974033769343,1.1198668816790223,0.3553951192922549,0.16554725462400519,0.023220330635275753,0.18837554320230737,India,2000,IND,755.4820978645138
2164,-0.05202571070357942,0.1330117644690636,-0.11326219302258435,0.057750800789344914,0.10710588249649777,0.13515769566385966,-0.23967673631329392,0.14079476416590972,0.35948188039142265,0.5122009922505996,0.6701377160941937,-0.29117386525803207,Spain,2000,ESP,23937.968551867485
2778,-0.23561391321268338,-0.2215586982506905,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.20715039756607756,-0.24227582694262953,-0.1918359852860365,-0.23929054125936303,0.014096592554133851,-0.19645854896608375,-0.29475851772720785,Saint Lucia,2000,LCA,9192.064419146403
179,-0.23561391321268338,-0.21967668942521412,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.14805558314916362,-0.24227582694262953,-0.13874265948113343,-0.2383617319186431,0.014096592554133851,-0.19645854896608375,-0.29475851772720785,Puerto Rico,2000,PRI,26132.00364455035
1565,-0.23561391321268338,-0.2215586982506905,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.207316083961639,-0.24227582694262953,-0.19197775651649016,-0.23929054125936303,0.014096592554133851,-0.19645854896608375,-0.29475851772720785,Liberia,2000,LBR,763.4268725287566
1441,-0.23561391321268338,-0.21478346647897548,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.20720562636459808,-0.24227582694262953,-0.1918359852860365,-0.23594682763277128,0.014096592554133851,-0.19645854896608375,-0.29475851772720785,Madagascar,2000,MDG,474.13902725098995
885,-0.23561391321268338,-0.2215586982506905,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.20778552874906311,-0.24227582694262953,-0.1924030702078512,-0.23929054125936303,0.014096592554133851,-0.19645854896608375,-0.29475851772720785,Tonga,2000,TON,3506.2914094816565
3276,-0.2134354726411138,0.17679983647514785,-0.11326219302258435,-0.13916823553849894,-0.14223554198576924,-0.17956361270509763,-0.16009355554382432,-0.1689044887601538,-0.04151607230873124,0.02082773309057258,-0.19645854896608375,0.21834411333640055,Colombia,2000,COL,4003.8403241989577
2689,-0.23561391321268338,-0.14176152405049108,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.20786837194684382,-0.24227582694262953,-0.19176509967080965,-0.1917355030145023,0.014096592554133851,-0.19645854896608375,-0.29475851772720785,Iceland,2000,ISL,42174.66505846959
1140,-0.23561391321268338,-0.2215586982506905,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.1277866140921473,-0.24227582694262953,-0.13122878426708837,-0.23929054125936303,0.014096592554133851,-0.19645854896608375,-0.29475851772720785,Singapore,2000,SGP,34890.7155939131
3275,-0.23561391321268338,-0.2211822964855952,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.207316083961639,-0.24227582694262953,-0.19197775651649016,-0.23910477939121905,0.014096592554133851,-0.19645854896608375,-0.29475851772720785,Mauritania,2000,MRT,1265.1591388057625
876,-0.21836401499035143,-0.19809632155975135,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.19991542495989467,-0.19441330077231173,-0.18698032064299797,-0.2268444960937159,0.014096592554133851,-0.19645854896608375,-0.2851828263449964,Myanmar,2000,MMR,318.00692540808615
875,-0.07543628686245844,-0.07952976555473806,-0.1141694525526865,-0.13209080717153626,-0.10224222927099863,-0.12361683980385103,-0.24227582694262953,-0.11386180853651261,-0.15959869982559252,0.11842927086893412,-0.19645854896608375,-0.29475851772720785,Portugal,2000,PRT,18795.031147983413
1164,-0.23561391321268338,-0.2215586982506905,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.20770268555128238,-0.24227582694262953,-0.19233218459262438,-0.23929054125936303,0.014096592554133851,-0.19645854896608375,-0.29475851772720785,Solomon Islands,2000,SLB,1790.3712607392767
504,-0.23561391321268338,-0.22143323099565873,-0.1141694525526865,-0.13916823553849894,-0.14963690180635988,-0.20781314314832336,-0.24227582694262953,-0.19243851301546464,-0.23922862063664838,0.014096592554133851,-0.19645854896608375,-0.29475851772720785,Sao Tome and Principe,2000,STP,1149.5331749124637
