,scale__biofuel_electricity,scale__hydro_electricity,scale__solar_electricity,scale__wind_electricity,scale__coal_electricity,scale__fossil_electricity,scale__gas_production,scale__greenhouse_gas_emissions,scale__low_carbon_electricity,scale__net_elec_imports,scale__nuclear_electricity,scale__oil_production,scale__primary_energy_consumption,scale__hydro_consumption,scale__per_capita_electricity,scale__biofuel_elec_per_capita,scale__hydro_elec_per_capita,scale__solar_elec_per_capita,scale__wind_elec_per_capita,remainder__country,remainder__year,remainder__iso_code,remainder__GDP_per_capita
2173,0.0,0.0025799156078047084,0.0,0.0,0.0,7.094607335621283e-06,0.0,2.3796532587532538e-05,0.0011922602627336169,0.5366829234306416,0.0,0.006210659515697919,0.0005429873048792158,0.0,0.004070937319410332,0.0,0.005522547811796451,0.0,0.0,Cameroon,2000,CMR,1137.6245230672598
2203,0.002117932159084422,0.021555335251706897,0.0,6.0860289942082045e-05,0.00031463869302244727,0.00895625719384738,0.0389435514558669,0.005768309813272139,0.012195641730878408,0.5451821918762628,0.0074003295487243236,0.05513765244479768,0.01595621422205738,0.024342344393200727,0.04095184270336085,0.003846006241200502,0.01878366833918399,0.0,0.00033507752328608653,Argentina,2000,ARG,10672.722035312107
1545,0.00041134609035843605,0.1241421434461526,0.0,0.0,0.03105741806840461,0.09722633036734295,0.5748814559282333,0.07246139445645591,0.10023318287686434,0.43879328363408343,0.1512952831439299,0.43559511259350814,0.1647394947391221,0.13977077428117662,0.10107458998306974,0.00018887645598538954,0.02730967996663133,0.0,0.0,Russia,2000,RUS,5323.66259765625
2199,0.0,0.0,0.0,0.0,0.0,5.31651025902447e-06,0.0,4.308926282910806e-06,0.0,0.5366829234306416,0.0,0.0,2.2765006339251586e-05,0.0,0.0004340282392043883,0.0,0.0,0.0,0.0,Guinea-Bissau,2000,GNB,563.6243086024341
906,0.000999824045091535,0.023363598925906507,0.0,4.560708444281336e-05,0.006991744119684894,0.01656651268168174,0.000728417551218167,0.013143286154776763,0.010894956028256908,0.5600222949905943,0.0,0.0038751078267766632,0.019745632099425307,0.026304207672418038,0.0345332095283759,0.0010502861682274158,0.011771901208865706,0.0,0.00014531724269678368,Turkey,2000,TUR,6454.593118516034
162,0.0,0.00046144770497671234,0.0,0.0,0.0,0.00522936572130046,0.003203253887411795,0.003997102929140964,0.00021324951882496052,0.5366829234306416,0.0,0.1717513847938764,0.007368241748354862,0.002722956759006472,0.021705862134674535,0.0,0.0006053531802185904,0.0,0.0,Iraq,2000,IRQ,4138.188056466597
898,0.0003524982948851261,0.0001361115627566987,0.0,0.0,0.0017961507245764432,0.003693089847120814,0.003428365514358819,0.003135317672558803,0.005041870366460154,0.560649341601059,0.017518812161798368,0.0028634443896245086,0.006398839316709192,0.00015150424354484323,0.061424604057213894,0.002329133046769716,0.0004312352269049368,0.0,0.0,Hungary,2000,HUN,8967.69626924063
1282,0.0,0.00031012856906042694,0.0,0.0,0.0,6.043751963352567e-05,0.0,5.411058683916634e-05,0.0001433201799743422,0.5366829234306416,0.0,0.0,0.0001776602194991909,0.0,0.0016020075995979983,0.0,0.0012019833540450353,0.0,0.0,Guinea,2000,GIN,620.9044598534613
2779,0.009944688957034636,0.0582502257114061,3.027523861628092e-05,0.0024098539368294595,0.07308853248067165,0.08452182675505873,0.027149008129591166,0.08017415597390731,0.03358003355139749,0.5460879258691562,0.01948320622221201,0.0455583245298663,0.08514358769133079,0.06558555036127525,0.009602580740753673,0.0006316608505999115,0.0017758100396006158,8.227448079487134e-06,0.0004630337190353383,India,2000,IND,755.4820978645138
2164,0.008767733047568439,0.02138131824540317,3.027523861628092e-05,0.007214613669099095,0.014813228625082478,0.022087504104514842,0.0001941654684351913,0.020360196356255012,0.03381080036960453,0.567616526161778,0.07685833840184066,0.0003380123139953345,0.03488480661307518,0.02518960429102424,0.09656219500155515,0.014484317174778924,0.0169532545770261,0.0002263934870411684,0.03605659626767306,Spain,2000,ESP,23937.968551867485
2778,0.0,0.0,0.0,0.0,0.0,4.621274302075117e-05,0.0,3.895355971334944e-05,0.0,0.5366829234306416,0.0,0.0,3.345215948076001e-05,0.0,0.029026051860837242,0.0,0.0,0.0,0.0,Saint Lucia,2000,LCA,9192.064419146403
179,0.0,0.00011341369236925592,0.0,0.0,0.0,0.0038513404869379305,0.0,0.0032825573646381666,5.241203946853842e-05,0.5366829234306416,0.0,0.0,0.002954607351493061,0.0,0.10148367124590686,0.0,0.0009579395915749583,0.0,0.0,Puerto Rico,2000,PRI,26132.00364455035
1565,0.0,0.0,0.0,0.0,0.0,3.554416056117029e-05,0.0,3.029240135573978e-05,0.0,0.5366829234306416,0.0,0.0,4.3180209135209974e-05,0.0,0.0012301446825439737,0.0,0.0,0.0,0.0,Liberia,2000,LBR,763.4268725287566
1441,0.0,0.0004084860074060125,0.0,0.0,0.0,4.265654886755754e-05,0.0,3.895355971334944e-05,0.00018877425022724415,0.5366829234306416,0.0,0.0,0.00021892450524001506,0.0,0.0008565365990369612,0.0,0.000813884114759872,0.0,0.0,Madagascar,2000,MDG,474.13902725098995
885,0.0,0.0,0.0,0.0,0.0,5.31651025902447e-06,0.0,4.308926282910806e-06,0.0,0.5366829234306416,0.0,0.0,9.999795642449866e-06,0.0,0.005205954403227608,0.0,0.0,0.0,0.0,Tonga,2000,TON,3506.2914094816565
3276,0.0010586718405648447,0.02402183716714235,3.027523861628092e-05,0.0,0.00042701634396206766,0.0018225317225409672,0.006139767088570956,0.0014398959240567119,0.01116768044977432,0.5371002577858287,0.0,0.04838428588904708,0.007163062109516287,0.026250911827094218,0.01915872046525482,0.001817831925618242,0.01978834163914343,0.00023563781072598542,0.0,Colombia,2000,COL,4003.8403241989577
2689,0.0,0.004811872862569918,0.0,0.0,0.0,0.0,0.0,4.328413889215427e-05,0.0026852516471943177,0.5366829234306416,0.0,0.0,0.0007588312610619884,0.005409643534627708,0.48589387209357016,0.0,0.5522632842166971,0.0,0.0,Iceland,2000,ISL,42174.66505846959
1140,0.0,0.0,0.0,0.0,0.0,0.005156463741159991,0.0,0.0037415987575914788,0.0,0.5366829234306416,0.0,0.0,0.010116575626318155,0.0,0.12739948211188268,0.0,0.0,0.0,0.0,Singapore,2000,SGP,34890.7155939131
3275,0.0,2.2622210819484667e-05,0.0,0.0,0.0,3.554416056117029e-05,0.0,3.029240135573978e-05,1.0454436158167438e-05,0.5366829234306416,0.0,0.0,0.00011518147805652631,0.0,0.0015197710824561784,0.0,0.00027207518872715596,0.0,0.0,Mauritania,2000,MRT,1265.1591388057625
876,0.0008232806586716052,0.0014147582612493105,0.0,0.0,0.0,0.0005120741770891161,0.0035757638549703515,0.00033559823346148023,0.0007027548907792886,0.5366829234306416,0.0,0.0009029523292791003,0.0010972349414124442,0.0,0.0019122376483480302,0.0012174194549244893,0.001003644332267902,0.0,0.0,Myanmar,2000,MMR,318.00692540808615
875,0.007649624933575551,0.008564587433293797,0.0,0.00025915196143257494,0.002734504109922274,0.00542495639972611,0.0,0.004802590656398662,0.004499917990367862,0.5431617083536543,0.0,0.0,0.006698239455252604,0.009645654938094859,0.07499573070848617,0.04998390252976824,0.02685976934274058,0.0,0.005125670531616688,Portugal,2000,PRT,18795.031147983413
1164,0.0,0.0,0.0,0.0,0.0,1.0650801488814907e-05,0.0,8.639505461715635e-06,0.0,0.5366829234306416,0.0,0.0,2.41123183805956e-05,0.0,0.0024848837466004132,0.0,0.0,0.0,0.0,Solomon Islands,2000,SLB,1790.3712607392767
504,0.0,7.490297227856128e-06,0.0,0.0,0.0,3.5384131824276577e-06,0.0,2.1436366935083906e-06,3.4615022731056063e-06,0.5366829234306416,0.0,0.0,6.665769235056212e-06,0.0,0.0037169534545889588,0.0,0.0017004827610895715,0.0,0.0,Sao Tome and Principe,2000,STP,1149.5331749124637
198,0.0,0.0010364604214585969,0.0,0.0,3.7271920894974113e-06,5.31651025902447e-06,0.0,1.2970084640520463e-05,0.0004789810064573101,0.5406535219117954,0.0,0.0,0.00028960129791729837,0.0,0.013704736951069446,0.0,0.018406543125872695,0.0,0.0,Namibia,2000,NAM,3082.7642334778598
412,0.0,0.0,0.0,0.0,0.0,2.4875578101589414e-05,0.0,2.1631242998130122e-05,0.0,0.5366829234306416,0.0,0.0,4.8774979476384254e-05,0.0,0.033210266510085344,0.0,0.0,0.0,0.0,Antigua and Barbuda,2000,ATG,14247.973013192952
911,0.0,0.0,0.0,0.0,0.0,3.5384131824276577e-06,0.0,2.1436366935083906e-06,0.0,0.5366829234306416,0.0,0.0,9.999795642449866e-06,0.0,0.0006635176277723039,0.0,0.0,0.0,0.0,Comoros,2000,COM,1202.131310440223
711,0.0,0.0,0.0,0.0,0.00016667478595194706,0.00015823285884635036,0.0,0.00015804448713048225,0.0,0.5435797394272974,0.0,0.0,0.00032766857203459437,0.0,0.009177205321748334,0.0,0.0,0.0,0.0,Botswana,2000,BWA,4917.108684579114
1771,0.00041134609035843605,0.0028976857932289076,0.0,0.0,0.0008634162217775939,0.0008801402719446564,0.0,0.0008942429475273032,0.0030279054075623476,0.5274855430920364,0.00588070395481943,1.3644786242899965e-06,0.0017954851157883053,0.0032659982100086194,0.12213862441588767,0.0139710358014154,0.047173986795372484,0.0,0.0,Slovenia,2000,SVN,16240.656886049459
105,0.0,0.005697089807680188,0.0,0.0,0.006723910718278799,0.007843168423897776,0.008758576386364084,0.007405268742860365,0.002632804643056354,0.557723124085557,0.0,0.04709594287875108,0.008443465264739314,0.0064153505401706775,0.06035576083604257,0.0,0.012079149495096185,0.0,0.0,Kazakhstan,2000,KAZ,4446.452532707233
1063,0.00029365049941181627,0.0,0.0,0.0,0.0,0.000247137712676191,4.987137755331364e-05,0.00021217672686554262,1.7447370043229268e-05,0.5366829234306416,0.0,0.0,0.00045458993348866227,0.0,0.0026424651541768463,0.002040412274252733,0.0,0.0,0.0,Senegal,2000,SEN,1076.8923008583113
1776,0.0,0.04006923153106442,0.0,0.0,0.0,1.7603161058308446e-06,0.0,0.00027713541454761506,0.018517253962974305,0.20671636591653308,0.0,0.0,0.0028474617905102457,0.0,0.18409717995721414,0.0,0.25262363970074014,0.0,0.0,Paraguay,2000,PRY,4056.2387696082556
1079,0.0,0.004494102677145719,0.0,0.0,0.0,0.0,0.0,3.029240135573978e-05,0.0020768663991939385,0.5281125897025012,0.0,0.0018815930904820515,0.0004870852730620949,0.0,0.00217577559057016,0.0,0.0029862279957917127,0.0,0.0,Democratic Republic of Congo,2000,COD,339.9694349679914
926,0.0,0.0,0.0,0.0,0.0,0.00018134812084210893,0.0,0.00015371390795167742,0.0,0.5366829234306416,0.0,0.0,0.00088883545515303,0.0,0.16787564408283978,0.0,0.0,0.0,0.0,United States Virgin Islands,2000,VIR,44880.27023253129
