Country;Product;Flow;NoCountry;NoProduct;NoFlow;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021 Provisional
Australia;Coal, peat and oil shale;Production (PJ);01. Australia;01. Coal, peat and oil shale;01. Production (PJ);1368,251838;1648,414248;1685,223676;1640,362098;1874,310525;1848,931584;2047,783872;2007,46307;2175,879558;2172,858506;2621,698735;2651,691207;3033,662132;3305,79691;3514,371236;3789,06713;4302,475582;3771,204926;4195,740995;4442,320098;4804,89424;4988,129471;5023,436132;4969,196979;5351,710375;5441,004113;5889,834977;6381,82829;6470,250981;6890,559759;7470,643152;7697,986844;7697,870886;7920,967422;8439,693101;8533,045724;9000,748664;9039,732888;9350,504976;10323,12392;9782,067241;10272,36221;11074,77871;11950,78794;12501,00154;12223,55369;12264,16248;12034,6322;12596,41582;12334,88697;11465,30084
Australia;Coal, peat and oil shale;Imports (PJ);01. Australia;01. Coal, peat and oil shale;02. Imports (PJ);0;0;0;0;0;0;0;0,29265732;0,366286385;0,04910279;0;0,024978449;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,457998672;0,405001724;0,593998063;1,377000839;1,188000313;0,189000526;0,161999852;1,784602566;6,755636261;3,635427748;2,577490376;5,287409237;6,978796888;6,829993829;7,916740571;12,73573062;17,03794395;19,6075464;12,44385205
Australia;Coal, peat and oil shale;Exports (PJ);01. Australia;01. Coal, peat and oil shale;03. Exports (PJ);-541,4240011;-614,7180005;-738,9393977;-745,3829457;-849,7079283;-786,8466934;-915,0885658;-1001,527782;-1103,710136;-1164,246286;-1385,937681;-1268,280817;-1677,585659;-2081,988906;-2407,110041;-2497,854706;-2740,525557;-2721,26127;-2699,044083;-2816,318846;-3274,676836;-3433,684211;-3584,958231;-3563,806982;-3709,2725;-3823,573911;-4251,278411;-4524,535649;-4676,70536;-5083,8522;-5233,897604;-5549,035595;-5674,778203;-5957,901698;-6321,661001;-6312,856701;-6651,126;-6864,835101;-7077,711298;-7971,286704;-7720,391726;-8171,019358;-9101,059456;-10166,8869;-10634,4478;-10552,5051;-10248,0298;-10333,3662;-10629,0366;-10504,852;-9835,760799
Australia;Coal, peat and oil shale;Total energy supply (PJ);01. Australia;01. Coal, peat and oil shale;04. Total energy supply (PJ);884,2974695;923,2501588;945,5418795;928,3230699;998,126664;996,3669687;1081,563936;998,1097953;1034,394032;1143,764226;1155,059919;1195,928044;1169,640094;1226,31511;1260,799822;1237,147475;1331,823571;1347,22721;1464,485767;1460,679944;1518,887028;1542,077219;1572,512115;1553,850505;1569,972908;1703,475872;1855,933572;1972,869141;2013,570427;2015,828506;2018,544471;2034,808062;2015,734458;2089,200434;2136,730512;2164,525266;2172,797014;2156,304351;2205,216884;2113,079216;2013,814178;1968,848884;1831,204342;1736,61351;1797,035545;1863,051458;1872,030679;1797,650326;1744,105366;1630,139075;1716,433649
Australia;Coal, peat and oil shale;Electricity, CHP and heat plants (PJ);01. Australia;01. Coal, peat and oil shale;05. Electricity, CHP and heat plants (PJ);-516,5385537;-569,92192;-577,9004913;-617,9484684;-664,4268386;-684,1952795;-770,4450049;-707,3242596;-734,5308941;-844,4131251;-870,8521056;-913,2524321;-875,9413662;-897,8457618;-987,3758785;-978,4524721;-1058,493265;-1111,71451;-1199,821345;-1209,253419;-1253,638971;-1286,065804;-1294,372185;-1310,812329;-1355,732979;-1429,945562;-1486,648672;-1665,522647;-1701,310266;-1724,419744;-1793,426854;-1849,505272;-1776,742109;-1858,880689;-1890,030603;-1928,773387;-1946,549753;-1920,110479;-2006,074698;-1963,755713;-1872,014497;-1859,163227;-1733,777498;-1639,902404;-1704,823218;-1753,358738;-1723,655796;-1647,418011;-1609,008388;-1515,102525;..
Australia;Coal, peat and oil shale;Oil refineries, transformation (PJ);01. Australia;01. Coal, peat and oil shale;06. Oil refineries, transformation (PJ);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
Australia;Coal, peat and oil shale;Total final consumption (PJ);01. Australia;01. Coal, peat and oil shale;07. Total final consumption (PJ);220,4043684;210,8858126;217,5989612;208,5482594;215,9723894;206,8153931;202,1286473;176,5127917;184,1729652;188,7217266;178,1288672;181,6694849;163,7962073;170,9585703;195,3317459;181,8264187;184,4884112;184,0338713;186,1257724;190,8189994;194,4032393;194,7471975;198,7819455;197,7136123;195,4805951;186,4906353;196,9349763;188,7918932;184,1390437;175,846094;165,4160719;125,9436081;144,8675254;151,3946336;163,0999006;149,0404336;148,7904356;153,2483937;142,8245931;106,2887299;104,4816735;101,4165968;98,51566777;102,4695017;98,10168536;113,2895954;118,6224482;128,9095623;127,2616965;119,2349059;..
Australia;Coal, peat and oil shale;Industry (PJ);01. Australia;01. Coal, peat and oil shale;08. Industry (PJ);204,4577893;195,6787856;204,9565795;182,4533543;191,06417;183,9334844;181,0638642;157,4908488;165,7845731;171,3396989;161,5773205;165,90697;148,064792;153,4917347;178,8905173;166,7790637;169,9870861;170,7410953;173,2917734;179,2507286;183,6259179;184,6003621;188,8832198;188,3585384;186,3147185;178,3877663;189,0359166;181,6962846;177,5797851;169,312534;156,9224656;119,4913934;136,6646213;143,9172097;151,4660478;139,6035706;139,2138591;143,4214717;133,5947674;101,5562936;101,0831936;98,64095776;98,31566433;102,1912972;97,7654895;112,9444984;118,0759578;128,3791618;126,6626994;118,4404019;..
Australia;Coal, peat and oil shale;Transport (PJ);01. Australia;01. Coal, peat and oil shale;09. Transport (PJ);3,431999509;1,456001568;0,866282414;0,313511771;0,336363325;0,282776472;0,25706952;0,174957998;0,16024977;0,150904832;0,152089697;0,132089353;0,601504996;3,204945158;2,94540124;2,866521928;3,335397473;3,109251658;3,42499918;3,025373306;3,240721364;3,464677483;3,594828348;3,488152871;3,580923985;3,568577112;3,860371951;3,779101976;3,695600437;3,695600437;4,601021058;2,420619354;3,344516323;3,824947436;7,594457454;6,559689834;7,021640412;7,594457454;7,372720339;3,917337552;2,790179816;2,402138819;0;0;0,025698578;0;0;0;0;0;..
Australia;Coal, peat and oil shale;Residential (PJ);01. Australia;01. Coal, peat and oil shale;10. Residential (PJ);9,914581048;9,851025424;7,838451598;14,83558248;13,86534182;12,17330103;10,60428099;9,494816666;8,86134964;8,145833893;7,698432445;7,229083792;6,859498208;6,061762084;5,58686592;4,745369362;4,043016914;3,354125029;2,766989131;2,384118832;1,900112191;1,778728486;1,785205465;1,58113246;1,60951059;1,1201909;0,928267988;0,89797649;0,817581557;0,766180213;0,853876926;0,966376242;0,942369131;0,834387372;0,865281769;0,40958627;0,396088027;0,361588795;0,29758937;0,162900014;0,103501883;0,066599428;0,05130086;0;0,020996802;0,020996802;0,020996802;0,020996802;0,020996802;0;..
Australia;Coal, peat and oil shale;Commercial and public services (PJ);01. Australia;01. Coal, peat and oil shale;11. Commercial and public services (PJ);2,599998613;3,900000013;3,937651906;10,94581082;10,70651845;10,4258312;10,20343257;9,352155643;9,366796883;9,085284824;8,701028694;8,401345924;8,270416314;8,200132502;7,908953123;7,435459537;7,122906544;6,82940349;6,642014882;6,158774426;5,636487874;4,903433622;4,518687636;4,285784326;3,975446149;3,414100939;3,110415588;2,418534328;2,046080786;2,071783552;3,038716638;3,065219082;3,91601871;2,818097399;3,174109376;2,467591063;2,158848058;1,870875767;1,559511824;0,65219877;0,504798289;0,306900814;0,148698389;0,2782003;0,289500473;0,324096001;0,525497828;0,509399582;0,5780003;0,794495542;..
Australia;Coal, peat and oil shale;Other final consumption (PJ);01. Australia;01. Coal, peat and oil shale;12. Other final consumption (PJ);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
Australia;Crude, NGL and feedstocks;Production (PJ);01. Australia;02. Crude, NGL and feedstocks;01. Production (PJ);620,7177142;663,6482403;830,909234;822,0716821;880,9319271;904,1275192;956,0111864;949,5588712;951,5585497;891,936575;870,2321243;857,3440863;833,873145;1003,113788;1160,607676;1206,827331;1198,029931;1195,116433;1081,195284;1215,252065;1216,28785;1201,070933;1189,359642;1119,50962;1187,567775;1167,102784;1181,571842;1303,770575;1049,126816;1419,76203;1466,045525;1380,336303;1347,210961;1194,682191;1074,859927;971,9197285;1084,871215;998,73671;1026,164826;1069,166859;1024,981343;961,0777964;840,3909501;803,9307885;757,2969666;735,4605354;641,2786243;611,905639;718,9714306;865,5096484;782,9726013
Australia;Crude, NGL and feedstocks;Imports (PJ);01. Australia;02. Crude, NGL and feedstocks;02. Imports (PJ);440,7445197;379,7046559;374,2120977;385,4585668;358,3671531;363,1200336;386,841224;442,172767;440,12157;435,819545;426,5805502;464,7263594;428,6378977;314,444929;266,7689288;212,0235002;268,9757492;343,4802907;437,0776156;427,4636133;458,6167757;565,1502492;716,4790747;730,3795688;736,764711;850,8183849;862,5316947;872,3804384;1026,083979;934,2447249;970,7218766;1007,142787;971,6603813;808,328285;894,996368;838,4640927;869,4460819;899,3277968;832,3162248;925,0958468;1087,107364;1008,830059;1025,185684;968,8388005;846,7368452;682,1819562;697,35296;767,2471899;744,6250219;630,8066085;478,8793846
